author,context,additional_context,song_title,song_text,source
Петре М. Андреевски,"Денес е Светскиот ден на поезијата! Секој ден е прекрасен ден за да се чита поезија, но на овој особен ден уште поубаво е одново да се читаат нашите омилени стихови или да пронајдеме нови омилени стихови. Еден од најдобриот начин да го одбележиме овој ден е преку споделување на македонска поезија, а изборот падна на Петре М. Андреевски и неговата песна „Четврто писмо“. Со оглед на тоа дека се работи за циклус од Пет љубовни писма, можете да ги прочитате останатите на следните линкови:ПРВО ПИСМО,ВТОРО ПИСМО,ТРЕТО ПИСМОиПЕТТО ПИСМО.",,Четврто писмо,"ЧЕТВРТО ПИСМО – ПЕТРЕ М. АНДРЕЕВСКИ

(Од циклусот
Пет љубовни писма
)

Една година јас без тебе, јас без себе,
една година како елениче-плетениче на провинциите,
како едначење на гласот од селските тажачки.
Видот не ме открива, телото не ме прифаќа
и веќе почнувам да живеам со бестелесна тежина.
A мојата далечна мисла сека над градовите
и секој говор ми почнува со твоето име.
Te оживувам од сите слики, но жива нигде те немам
тебе равенко меѓу моето тело и мојата душа.

Една година како во нашето растојание
ги гледам причините за сите војни.
Сето бело видело ми го скри под своите трепки,
(занишани како јуриш на летни ’ржи в присој)
па ни пат кај што врвам, ни сон кај што преспивам,
ни крај, ни бескрај, ни земја кај што те здогледувам,
и пак со тебе легнувам и пак без тебе ce будам.

A една година како трчкам по жална Македонија,
одбирајќи зборови што секаде ќе те прочујат
тебе балсам и шеќерпаре, тебе радост на иднината
што севезден ги бодреше моите болести.

Една година како ce враќам кај тебе
само со тоа што ги препрочитувам твоите писма,
и една година празен ко празна воденица,
ко месечината што ce празни на полноќните распаќа.

Една година оставен да ce бранам од себеси
како мразот што ce брани од својата нежност.

Една година ти без мене, јас без себе.

",song_kafe_kniga
Анте Поповски,21 февруари е Меѓународниот ден на мајчиниот јазик! Овој ден е прогласен за Меѓународен ден на мајчиниот јазик на XXX седница на Генералната конференција на УНЕСКО во 1999 година. Нема подобар начин да го одбележиме овој ден од тоа да споделуваме македонски стихови од македонски поети. Денешниот избор падна на преубави стихови од Анте Поповски!,,Време,"ВРЕМЕ – АНТЕ ПОПОВСКИ

Ние што пророкувавме да не биде убаво многу
Туку само толку колку за да оздравиме
– Бевме обични луѓе.

Ноќта и нам ни се криеше меѓу трендафили под прозорец
Земјата ја пишувавме со мала буква
И кубиња стоеја заклучени зад ридоите.

Се молевме кон небото – а гласот ни беше тежок
И паѓаше пак долу на земјата
За да не нè чуе ништо зашто немаше кој да нè чуе.

Беше време во какво никој друг да не се роди, Господи.

Извор на сликата: We heart it

",song_kafe_kniga
Рајко Жинзифов,"На денешен ден се родил познатиот македонски преродбеник, писател, поет, преведувач и собирач на народно творештво, Рајко Жинзифов. Тој се родил на 15 февруари 1839 година, како Ксенофон Ѕинѕиф. Но, денес истовремено се одбележува и годишнина од неговата смрт, бидејќи починал на 15 февруари 1877 година.",,Глас,"Тој е најпознат по неговата поема „Крвава кошуља“, а исто така се смета дека е творец на првиот расказ на македонски јазик „
Прошедба
“. Она што е исто така познато за Жинзифов е тоа што бил помошник учител на Константин Миладинов и со негова помош заминал на студии за Русија.

Во чест на годишнината од раѓањето (но и смртта) на Жинзифов, денес можете да ја прочитате неговата песна „Глас“.

Глас – Рајко Жинзифов

Далеч од баштина, далеч од роднини,
Не в чужда за мене земја,
В полјани кичести, зелени долини,
Самичак в планина шетам ја.
Ја сја расхождам, но на душа ми тешко
И једни мисли мене борат,
И мене стават то студено, то жешко,
И чувства то гаснат, то горат.

Ја искам сенка, ја искам прохлада,
Душевна ја искам тишина,
Че клето ми срце доста вече страда,
И сја нагледа всекаква злина:
Коварство сос бедност, сос гордост лукавство,
Сон мртов, глупава простота,
Љубов на слова, и слога без братство,
И хитрост, л`жлива доброта.

„Безумец, безумец душа ти ленива,-
Ја чух невиден и таен глас –
Спрегни плуг за заборавената нива,
Че блиска ет доба, близок ет час.
Стани, земи остен в р`це, работај
Ти ден и ношт, сос пот,
Истреби трње, исчисти троскот, изорај
Бесплодна нива да дадит плод.

Стани, безумец сос молитва горешта
Ти клетва дај, стори си крст,
Стани ти, иди напред, иди на срешта,
Но бој сја, бој сја, Божји прст“.
– Готов сум, сја к`лнам, да изорам нива.
Кажи кој си ти, невиден глас?
„Чуј! – загрме, глас сја одзива –
Ја сум Божји гнев, народен глас!“

",song_kafe_kniga
Славко Јаневски,"На 11 јануари 1920 година се родил познатиот македонски писател и поет, Славко Јаневски. Во негова чест денес читаме македонска поезија и неговите стихови!",,Срце,"Срце – Славко Јаневски

Сочувај ја легендата за него.

Тоа патува со ветерни мелници.

Натопи го со оган на намери
назобај го со искушенија
скрши го на две како бела погача.

Едната половина закопај ја со првата љубов
другата во кафез од магли затвори ја.

Птицо,
речи ѝ
птицо
исплачи ми ги празниве гради
а самиот исклешти се.

Те убедувам –
во празнината на ребрата
поудобно ќе се смести твојата сенка.

По светов премногу сенки лазат.

",song_kafe_kniga
Блаже Конески,"На 19 декември 2021 година се одбележаа 100 години од раѓањето на Блаже Конески. Во негова чест, ја започнуваме оваа работна недела со негови прекрасни стихови.",,Неизвесност,"Неизвесност – Блаже Конески

Ништо сигурно нема да знаеме,
умот ни сече грубо.
Колку нејасно разбира човекот,
што е вистинска љубов!

Таа е можеби откажување
од изгорот и слачот.
Дали сме сетиле колку е очајно
тестото под сачот?

Дали е можеби сè под сенката,
во капка вода на усни загорени?
Дали се најблиску до свежината
тие што се заморени?

Дали овие мисли
минат низ твојата глава?
Дали да ти се доверам
без сила, без гордост, без слава?

Извор: Конески, Блаже, „Птици врз кои ноќта и денот се делат (стоте песни)“, Скопје, Темплум, 2014

",song_kafe_kniga
Ацо Шопов,Да го одбележиме почетокот на викендот со читање прекрасни македонски стихови!,,И уште еднаш црно сонце,"И уште еднаш црно сонце – Ацо Шопов

Тука сé на тебе смртоносно личи.
И овој катран расфрлан врз ридјето.
И оваа смола што се цеди низ грлото на три суви дола.
И тагата на песот низ приградските наслеби што квичи
и таа на тебе личи.

И оваа карпа вода што ја плиска,
вода што се подава како жена
во преграб да ја фати
оној за жедта нескротена со живот што ќе плати.
И оваа модрина скржава и недостижно блиска.
И оваа карпа над неа што ја плиска.

И овие лозја и лозници. И вина,
наточени од усвит, од припек, од врелина.
И суша.
И овој камен со збигорена душа.
И трите, црно сонце, нашите три сина
жедни сред лозја, лозници и вина.

И овој ѕвонарник во густите лески
што моли и проколнува.
И рането ечи.
И секој што доаѓа во мир да се лечи.
И очите ископани од старите фрески.
И овој ѕвонарник во густите лески.

Тука сé на тебе смртоносно личи.
И овој катран расфрлан врз ридјето.
И оваа смола.
И над нив Големата ѕвездена кола.
И песот дури низ приградските наслеби што квичи
и тој во тагата на тебе личи…

И оваа земја метежна а јасна.
И оваа суша. И врелина.
И мора.
И трите мои рани – трите неизречени збора.
О црно сонце, огну на есента касна,
светлина капе врз нас од ѕвезда што одамна згасна.

Ацо Шопов
,
Гледач во пепелта
, 1970



",song_kafe_kniga
Тихомир Јанчовски,Денес на блогот читаме македонска поезија! Поезијата и прекрасните стихови ни помагаат да го надминеме овој период!,,Те чекам,"Те чекам – Тихомир Јанчовски

Ја исчистив собата
го вклучив радиото
и те чекам
Излегувам на терасата
но ти никогаш не доаѓаш
додека гледам на улицата
Влегувам во собата
се прашувам
како ќе бидеш облечена
Секој момент
треба да заѕвониш
Те чекам



",song_kafe_kniga
Петре М. Андреевски,"Денес е петок, денот кој со душа го чекаме! За да го одбележиме почетокот на викендот, денес читаме прекрасни македонски стихови на Петре М. Андреевски!",,Трето писмо,"Трето писмо – Петре М. Андреевски

(Од циклусот Пет љубовни писма)

Беше тоа еден ден што траеше цела година.

A беше тоа кога помислував
дека твојата коса низ туѓи прсти
истекува ко млаз вода или ко сува пченица,
па јас останував сам и сите остануваа сами
и возовите добиваа нови и незнајни брзини
и веќе никаде не можеа да запрат;
и тревите почнуваа да ветреат во лажна прељуба
и сите ветрени коли носеа од моите боли.

A беше тоа кога помислував
дека полната светлина од твојата уста
капе и ce меша во туѓа пладнина,
па гаснеше варта во моите очни витли
и шумите слегуваа во длабоки подземја
и небесата догоруваа и реките потекуваа нагоре
и животните ме гледаа како пријател што го губат
и cе што беше мое живееше без мене.

A беше тоа кога помислував
дека веќе не можам да мислам без тебе,
па почнував да личам на сите мои предци,
на сите мои предци, a најмногу на себеси.

Беше тоа еден ден што траеше цела година.



",song_kafe_kniga
Ацо Шопов,Денес на блогот читаме прекрасна македонска поезија!,,Треба да бидеме подобри,"Треба да бидеме подобри – Ацо Шопов

Треба да бидеме подобри.
Треба да бидеме подобри.
Подобри од црвеното срце на лебот
од кој ни мириса сета соба
на Сонце, Земја и Глад.
Треба да бидеме подобри.
Треба да бидеме подобри.
Подобри од белите усни на водите
кои, љубејќи ги твоите колена,
шепотат за сите суводолици
и сите грла што сонуваат вино.
Треба да бидеме подобри.
Треба да бидеме подобри.
Подобри заради она дете
што го замислиле твоите утра
и божилото на твоето срце.
Заради оној добродушен човек
кој гледајќи те со „Добар ден”
смирено го зема својот обед.
Треба да бидеме подобри.
Треба да бидеме подобри.
Подобри од црвеното срце на лебот,
подобри од белите усни на водите,
заради нас,
заради нас,
заради човековиот „Добар ден”,
заради она невино дете
што го замислиле твоите утра
и божилото на твоето срце.

Ацо Шопов
,
Ветрот носи убаво време
, 1957
Песната за првпат е објавена во списанието
Хоризонт
, 16.9 1956.

Извор.





",song_kafe_kniga
Владо Урошевиќ,"Речиси е време да се збогуваме со летото и да се подготвиме да ја дочекаме есента, а има ли подобар начин од тоа да читаме македонски стихови на таа тематика? Денес ги читаме прекрасните стихови на Влада Урошевиќ и неговата песна „Крајот на летото“.",,Крајот на летото,"Крајот на летото – Влада Урошевиќ

Затвори го ова лето во кутија од слама
во кула од песок во преграб од ветар
во чашка од мак
затвори го лесно
затвори го така за да може пак
да се јави некогаш кога си сам некогаш зиме
да се јави како мирис како заборавено име
како лековит знак

(„Лавиринт“, Темплум: Скопје, 2019)

Извор: We heart it.

",song_kafe_kniga
Анте Поповски,"Честит 8. Септември – Денот на независноста на Македонија! Овие 30 години не беа лесни, напротив беа трновити и исполнети со падови и подеми, но вековниот сон да имаме своја држава се оствари! Нека е за многу години! Во таа чест, денес на блогот ги читаме моќните стихови на Анте Поповски!",,Кон Македонија,"Кон Македонија – Анте Поповски

Постара си од гороцветот и ножот
— И тоа е сè.
Во една твоја црква
Откопан е зборот востание.
Еве го и најдревниот глужд
Со твоето име.
Заградена си од време
И свртена кон едно друго време.
Те молам,
Благословиме за покорник
На твојата религија на недојденото.
О разум на маж и здравје на топла земја
Дојдов да лутам ноќ и ден, крај в краја и никој нигде ништо.
Се опаметувам, но, што? Јас веќе залутав
И касно е и за најмало покајување.
Дојдов со едно тело — со рани за две се враќам
На моето чело најцрната клетва е изречена
Не проколнувај го душманот и името да ти го носи
— И под девет бездни татковината ќе ти ја изнајде.
А со разум на маж и здравје на топла земја
Дојдов на врела крв моите соништа да врзат
И спокојно се обидувам да си го прочитам името
На камен од своите гради.
Македонија што ќе ми го запише…



",song_kafe_kniga
Славко Јаневски,"На средина на неделата сме, па време е малку да ја разубавиме работната недела со македонска поезија. Денес читаме стихови од Славко Јаневски!",,Јазик,"Јазик – Славко Јаневски

Кога главата ќе ти се стркала
под дното на животот
и устата ќе ти се отвори
за нечујна воздишка
јазикот умно се подава
да ѝ ги излиже раните на земјата.

Со свој мелем дрвјата ги лекува
со свој мов каменот за топлина го обвива
со своја благост соленото море го смирува.

Како појас континентите ги обвива.

Кога ќе се наскита
се враќа кон своите корења
обогатен со мудроста на вечната смиреност
за да помолчи
на хебрејски
на ерменски
или на македонски.

Сеедно, љубов моја,
на сите јазици јазикот еднакво молчи.

Така и молчењето си го премолчува.

(„Анатомија“„Одбрани песни“, 1982 година)

",song_kafe_kniga
Богомил Ѓузел,Денес на блогот читаме македонска поезија. Изборот падна на една песна од Богомил Ѓузел кој неодамна нè напушти.,,Хаос,"Хаос – Богомил Ѓузел

Однадвор првин слушаш некоја врева
мноштво гласови и по некој извик и лелек
од болка, бес, бунт, дива радост или ликување
излегуваш да видиш што е и кајшто ќе погледаш
се отвора и затвора гладно и жедно по една уста
или тоа е само огромната уста на просторот
со подземен татон како од земјотрес
или грми и сека од небото – далечни експлозии и пожари
на топови и тенкови од фронтот на хоризонтот
Викаат, врескаат и пиштат невидливи маси
и меѓу извиците како да распознаваш некои зборови
но на некој непознат и неразбирлив јазик
бргу влегувај назад во куќата
затвори ја вратата и капаците од сите прозорци
освен ако и тие не се претвориле во усти
затвори си ги потем клепките
однатре да те осветли првобитниот мрак –
надвор е само последичниот хаос

",song_kafe_kniga
Игор Исаковски,Продолжуваме со споделување прекрасни и моќни стихови од нашите извонредни поети и книжевници. Денес изборот падна на „Те боли црната светлина што те очекува“.,,Те боли црната светлина што те очекува,"Те боли црната светлина што те очекува – Игор Исаковски
демон си, разбуден
од предолга кома.
демон си, трогнат
од погледот на сопствените
екстремитети: што со нив, сега?

те боли сознанието
за времето, те боли
сфаќањето на вечноста.
врз дланката ти се спушта
совршено кршлива снегулка.
ја голташ.

боли
кога ќе дознаеш
дека си причина
за нечија болест.
тука не можеш
ништо да поправиш,
нема што да проголташ
освен сопствениот мир.

боли што знаеш –
сè е конечно,
сè е минливо,
сè во самото себе
се проголтува,
опиено од мечтаеното
вечно постоење.

демон си, полн оган
и тишина, полн ѕверски
ерупции, лава за некои
идни векови плодна.
демон си, беден
во осаменоста, надмен
во самотијата, грст
мириси си разлеани насекаде
– дребни трошки ништожност.

боли тоа, боли до последното
што останало од тебе, те боли
до последната мисла: онаа
на која ќе јавнеш за да заминеш
во вечен неспокој и црна светлина.

",song_kafe_kniga
Блаже Конески,Конечно е петок! Да го прославиме почетокот на викендот со прекрасна македонска поезија.,,Осаменост,"Осаменост – Блаже Конески

Ги изгубив собеседниците во себе.
Ликовите на кои бев свикнат
да им се обраќам,
да им доверувам најскришни работи,
да им покажувам колку сум духовит,
колку сум добар,
колку благороден,
готов да разберам сè,
а колку сепак страдам, –
сега вртат глава од мене,
се прават да не ме слушаат,
уште не ми се врекнале,
но јас чувствувам дека им пречам,
им здодевам,
и нашата блискост им станува тешка.
Глуво е во мене како во празна сала.
Немам собеседници.

",song_kafe_kniga
Матеја Матевски,"Денес е петок, денот кој долго го очекувавме! Најубав начин да се прослави почетокот на викендот е со прекрасна македонска поезија!",,Прогонети од рајот,"Прогонети од рајот – Матеја Матевски

I
Се затвори зад нас портата.
Како светкавица светна пред нас патот
на дните идни
и згасна.
Сега сме голи и сами
пред оваа пустелија на мракот и каде
Треба да измислиме распаќе на кое да се распнат
нашите погледи
пред да појдат на патот што го нема.
He свртувај се назад.
Висока е таа ограда што ја проколнавме со сво-
јата непокорност
висока е до небо и преку нашите очи
И не можеме повеќе да го видиме она убаво дрво
со плодови
на кое го распнавме бога и се откажавме од него
Сега одиме голи и пусти низ мракот што ќе треба
да го оплодиме со зрна што не се невратка и студ
во пазувите без пазуви.
Го барав виновникот за таа светлина од радост
радознала
што ме ослепи слеп при очи и глуп при многу
мозок
Ти си Таа Твоето тело со очи од божило
што зрачеа над
оние шарени гранки што не се забораваат
и по кој се јазев високо и високо по едно
далечно сонце
за да лазам сега така грд и гол
И што ми даде
Дури и од оној што ме створи се откажав и
фрлив со камен
по неговата добрина
заради непокорноста со која ме исполнија
твоите очи
виновници на непокорната убавина за која
страдам.
Се затвори вратата.
И светна пред нас патот на дните идни
и згасна.
Сега останавме без него сами и пусти во мракот
Ќе измислиш ли ќе измислиме ли распаќе
по кое ќе тргнеме сега ти виновнице на мојата
невиност
на која ù дадов сè за да ме врзеш со зборот
за вечни времиња.

II
Ти беше убав и сит и извишен но сам
како ластарот што нема по што да се изјази
кон сонцето
и јас без оној зрак од светлина по кој се
крена твојот поглед над очите и сонот
И што сум виновна што те откажав од тој
што те создаде
творцу на мојата осаменост грда на убавото тело
кога станав ѕид по кој се изјази за да видши
преку неговите рамена
во виножитото на дните идни што светна за час
и згасна.
Ти загриза во таа убава непокора за која си
доволно храбар па се каеш
што го изиевери тој што те насити и осамоти
Сега веќе не си сам ластар си лози сме две
во костец
една со друга со времето
се храниме со крвта што си ја цицаме меѓу себе
И добро ни е што никој рид не ни крева
макар да се изрониме од убавина
Me имаш мене и не жалам Ќе измислиме пат
до смислата на оова постоење
што не знае за бога туку само за љубов
и трнливости.

III
Ce затвори зад нас портата.
Како светкавица светна пред нас патот
на дните идни
и згасна.
Сега сме голи и сами
пред оваа пустелија на мракот и каде
Ќе измислиме ли распаќе на кое да се распнат
нашите погледи
пред да појдат на патот што го нема.
Ο распаќе темно и благословено од љубовта
горка и неоткажна
Нејзиното топло oко и во ноќта зрачи и ги создава
страните на виделото
по кое треба да се појде
Толку е тешко и стравливо и заморно ова гра-
дење на патишта
низ ништото од ништо
Но ги изградивме сепак и станавме првите
фиданки што ги населија
И кој да ги разруши постои едно топло око пак
што ќе нè научи што ќе нè научи да ги градиме.
Сами.

​
Рамноденица (1963),

(извор на сликата: pinterest)

",song_kafe_kniga
Владо Урошевиќ,Денес на блогот читаме македонска поезија и прекрасни македонски стихови.,,Лоши соништа,"Лоши соништа – Влада Урошевиќ

Постои еден човек што сè знае за нас.
Постојат хартии во кои пишува што сме згрешиле.
Постојат компјутери што со наши имиња ги хранат.
Постојат пресуди што судовите веќе ги решиле.

Постојат фотографии на кои веќе нè нема.
Постои една жена што се преправа дека нè заборавила.
Постои една пратка за нас што ја зема
раката која не ги почитува поштенските правила.

Постојат луѓе што по нас на улица се вртат.
Постои пријател што без поздрав нè одминува.
Постојат скали што под непознати чекори чкртаат.
Постојат соништа што денот не ги расплинува.

Извор на сликата: Pinterest

",song_kafe_kniga
Јосип Коцев,Денес на блогот читаме прекрасна македонска поезија. Изборот падна на стиховите на Јосип Коцев и лично моја омилена од него.,,Во овој свет,"Во овој свет – Јосип Коцев

Во овој свет на гратис гушкања,
промоции и 2+1 летувања,
купони, тикети и бинго добивки,
под ова небо со попуст на емоциии
беззаби насмевки на дар,
јас најскапо платив.

Во овој свет на
универзални декларации за човекови права,
полумртви сништа со
прострелни рани од улиците на Мемфис,
под овој свод на милион слободи,
јас најдолго робував.

Во овој свет со срца од марципан и чоколада,
чувства развеани ко знамиња на парада,
ликови од чија убавина можеш да ја
прецрташ скицата на рајот,
под ова небо со шуплива совршеност,
јас најмалку љубев.

Извор на сликата: We Heart It

",song_kafe_kniga
Блаже Конески,"Среда велат дека е среќен ден, а денес е прекрасен ден за споделување македонска поезија. Денес изборот падна на стиховите на Блаже Конески, имајќи предвид дека деновиве излезе поштенската марка со неговиот лик, па во негова чест споделуваме и негови стихови.",,Кафез,"Кафез – Блаже Конески

Триесет години. И што е сторено?
Триесет скршени врчки.
Детето во мене е затворено
во еден кафез од брчки.

",song_kafe_kniga
Анте Поповски,"На денешен ден во 1931 година се родил еден од најголемите великани на македонската поезија, Анте Поповски! Во негова чест, денес читаме македонска поезија!",,Мојот татко,"Мојот татко – Анте Поповски

Откако тој засекогаш излезе од својата куќа –
веднаш по него и куќата отпатува со него:
темелите, столбовите, скалите, покривот,
тргнаа по неговите траги и исчезнаа.
Куќата беше составена од неговиот глас,
од неговото чисто шамиче,
од неговиот поглед и неговиот ớд,
и јасно беше дека не можеше да се случи
тој да замине – куќата да остане!
Денес, само ние, неговите деца
можеме да го одгатнеме тоа чудо:
на среќниот мој татко куќата му беше
единствена црква во која тој се молеше
и целото наследство што ни го остави
е сјајот во неговите очи дури се крстеше
и ја глаголеше молитвата на трпезата.

He можеше да се случи:
ангелот да замине – црквата да остане…

",song_kafe_kniga
Петре М. Андреевски,Денес на блогот читаме прекрасни стихови од неповторливиот Петре М. Андреевски!,,Таа,"Таа – Петре М. Андреевски

Таа дури и на Сонцето
му позајмува светлина
и затоа никогаш
и никаде не ја напушта.

Таа е природна појава
една единствена
стои, како рамноденица
меѓу светот и светлината,
меѓу телото и душата.

Ми иде да ѝ викнам:
дај ми го само телото,
а душата задржи си ја,
но откај неа слушам:
а зошто ти е мртво тело?!

(извор на сликата: herway.net)

",song_kafe_kniga
Лилјана Дирјан,Денес читаме прекрасни стихови од македонската поетеса Лилјана Дирјан!,,Наеднаш срцето ми се стеснило,"Наеднаш срцето ми се стеснило – Лилјана Дирјан

Како да е гарсониера
Има сѐ, ама сето е некако смалено
надвиснале книгите по полиците,
плакарот е полн со непотребни алишта
речиси се како нови, си велам,
ама стеснети, ги издава некоја демоде варијанта
и тенџерињата се со по некоја кршеница
распар се филџаните, распар чиниите
сѐ е некако распар во ова срце
не е одамна варосано, паѓа бојата, паѓаат плочките
меѓу струјомерот и таваницата еден пајак
си направил мрежа
а ова срце еднаш имаше и лева и десна преткомора.

",song_kafe_kniga
Гане Тодоровски,На 11 мај 1929 година се родил легендарниот македонски поет и книжевник Гане Тодоровски! Во негова чест денес читаме негови стихови!,,Нашинска (III),"Нашинска (III) – Гане Тодоровски

Сѐ тече и сѐ протечува
А ние одиме одиме одиме
Минејќи преку минливото
Одејќи низ недоодливото
А едно густо име
Со многу жилки од животек
Слоевито и збито и деветорно
Се лепи милениумски
Низ нашите изморени стапалки:
М а к е д о н ц и!
Ем-Ма-ем-ке-ем-дон-ем-ци
Ем-донци-маке-ем-кедон-маци
Ем-донма-цике-ем-цима-донке
Вртени превртувани извртувани
Делени разделувани раскинувани
На слогови на маки и на фили
На егеи на вардари на пирини
Ослепени еднооки видовити
Кучкини синови ѓаволско соило црно семе
Мијаци брсјаци копановци
Мрваци бандовци пуливаковци
Икари и прометеи топовско месо
Гробари на својот грев и очај
Крадачи на сопствената вера
По првпат Питу по вторпат Питу
Итромани дудуци лесноверци
Последни претплатници на слогата
Одиме се пореваме се исправаме
Се извишуваме подзастануваме продолжуваме
Преку кресни илиндени грамоси
Преку беаскули подрумкалиња черни џамии
Преку лепоглави сремски митровици
Преку голиотоци и сибири.

Одиме одиме одиме.

За да се доболи болливото
За да се догледа гледливото
За да се доосвои најсвоето.

Одиме одиме одиме.

Со препал и со уплав
Да не би да се испогубиме
Низ маглата на вековите —.

Одиме своеглаво одиме упорито
Одиме прекутрупа одиме гласовито
Преку бришаниот простор на постоењето
Одиме одејќи накај себеси.

Нашински препознавајќи се —
Нашински престигнувајќи се —
Нашински издржувајќи.



",song_kafe_kniga
Ацо Шопов,"На денешен ден во 1982 година починал големиот македонски поет, Ацо Шопов. Ацо Шопов е еден од безвременските македонски поети, чии стихови од песните: „Очи“, „Тишина“, „Небиднина“ и уште многу песни, и ден денес ги знаеме напамет, ги споделуваме и ги рецитираме. Во чест на годишнината од смртта на великанот Шопов, денес на блогот читаме македонска поезија и тоа токму од него.",,Сам со својот пламен во градите,"Сам со својот пламен во градите – Ацо Шопов

Сам сум заробен во зелената одаја на дворот.
Нема никого: ни пријатели, ни блиски, ни непознати.
Сè е смирено. Само тишината ги дебне и ги лови
немирните шумови на лисјето и веднаш ги скаменува.

Ноќта се отвора благородно како цвет што разденува.
Пука некоја невидлива пупка на црвен трендафил
и од пукнатите лисје ѕирка пожар со црвено лице.
Пупката расте, се шири и сиот двор го ожарува,
но за миг црвениот трендафил исчезнува и пожарот згаснува.
А црвениот пламен го бара местото на моето срце
и таму полека во огромно пламено дрво израснува.

Сам сум заробен во зелената одаја на дворот.
Нема никого: ни пријатели, ни блиски, ни непознати.

Седам сам со својот пламен во градите.
Пламенот ме огрева посилно и од зборот на поетите
исчезнати во свемирот и синевината
барајќи го светот на убавината,
непозната и ненадмината.

Црвениот трендафил како крв се шири, истекува
а овој пламен во градите навек тука ќе векува.

(
„Дрво на ридот“, 1980
)



",song_kafe_kniga
