0,1,2,3,4,5
78,Коле Неделковски,"Денес на блогот читаме македонска поезија, изборот падна на „Скитник“ од Коле Неделковски!",Скитник,"Скитник – Коле Неделковски

Везден одам, везден траам,
везден судни маки чмаам…
Глава веднам… С’лзи леам
и сред лути рани тлеам.
Блиска рода нигде немам,
ни при живи дел да земам:
Немам либе… Гори младост…
Дни се нижат в страшна гладост.
Лејте очи, с’лзи жешки,
гини срце, в рани тешки!
Роб ќе стане, ден ќе светне,
младост пуста в крв ќе летне!



(Поштенска марка со ликот на Коле Неделковски, по повод 100 години од неговото раѓање, издадена во 2012 година)

",49
40,Раде Силјан,"На денешен ден во 1929 година, во Истанбул, се родил познатиот македонски поет Матеја Матевски, кој за жал почина на 6 јуни 2018 година. Во чест на неговиот роденден, денес на блогот ги читаме прекрасните стихови на уште еден познат македонски поет Раде Силјан, посветени токму на роденденот на Матеја Матевски, односно на неговиот последен роденден.",Последниот роденден на Матеја,"Последниот роденден на Матеја – Раде Силјан

Скопје, 13 март 2018 година

Со чаша црно вино наздравува
И со притаен глас кажува
Дека песните ненапишани
Ќе се разминат со спомените
Безброј прашања се ројат
Во неговата глава
А сал гласот на судбината
Тивко му вели
Сам човек планина не освојува

Во годините прилежни
Лажни звуци
Ја населуваат библиотеката
Болно воздивнува

Го враќа времето на младоста
И по патот на ѕвездите
Заносно талка по скрките на Беличица

Како сенки од друго време
Крај него минуваат
Последните слики на детството

Молкум ги отвора прозорците
Ги проветрува одаите на надежта

Со тајниот јазик на мајсторите
Се моли за будните чувари на јавето

Ја прелистува книгата на радоста
И по многу години дознава
Идеалите заспале меѓу кориците

Го подлажува хартијата
Болно воздивнува
На фотографиите не им верува
Дека играта со спомените била
Последна надеж на поетите

(Раде Силјан и Матеја Матевски)
извор на песната, како и сликата:
Страницата на Фејсбук посветена на Раде Силјан

",60
41,Катица Ќулавкова,"21 февруари е Меѓународниот ден на мајчиниот јазик. 21 февруари е прогласен за Ден на мајчиниот јазик Прогласен е на XXX седница на Генералната конференција на УНЕСКО во 1999 година. Во чест на овој ден, денес читаме стихови на академик Катица Ќулавкова токму посветени на македонскиот јазик!",Ода на македонскиот јазик,"Ода на македонскиот јазик – Катица Ќулавкова

Не те бирав, ама би те избрала
Меѓу сите јазици на светот
Тебе, навидум мал, а голем
јазик на исконот и на иконата
Тебе, оти си жив доказ за преминот
од митско кон поимско мислење
Серијал од диви бракови со туѓи јазици
кои во мираз ти оставиле траги и лузни
(од санскритот до латинскиот, турскиот и англискиот)
Тебе, јазол од јазици, јаз полн тајни
Тебе, сенка на сакралното, сениште на профаното
– остава на забранети јазици и гатанки
– засолниште на безобразни зборој и думи
– мрестилиште на суптилни значења
– преноќиште на клетви и благослови
– складиште на игрозборки и брзозборки
Тебе те одбрав, јазик – прајазик
Јазик – мајка и матрица
Јазик – постоење и постојбина
Јазик – битие и биднина
Во тебе ниеден одговор не е бесмислен
– И сè си има свое зошто и свое затоа
– И нема случајни глаголи и именки
во твоето скровиште, под твојот покров
Во тебе и дождот добива виша смисла
Во тебе огнот не е само огон, ни агон
Во тебе се будам за да бидам верна на битието
свесна за собитието, во чинот на суштествувањето
Во тебе епохите легнуваат како во гнездо
Душите лебдат како мистериозни глуварки
Твоја сум, и кога сум прогонета од твојот дом
И кога те дебнам во заседа, за да го најдам
правиот израз, кога мантрам и кога бајам
со мајчинска љубов
Од тебе вдахновена, живот ти вдахнувам
Премногу ти се доближив за да те изгубам
Премногу те имав за да ми се измолкнеш
како низ решето
Знаеш ти, знам и јас –
смрт му се заканува на јазикот кој молчи
Како мутав, нем и запоставен
Оставен на милост и немилост
на припростите и празнословците
на мешетарите и политичарите
на социјалните мрежи и порталите
Денес не се разликува сировото од суровото
Денес погрдното е смешно, стравичното – вообичаено
секојдневие, опасно по живот
Дојде ред да станеш, и ти, жртвено јаре
сведен на сликичка, на немушт знак
Ти, некогаш осветен, сега испоганет
Некогаш во зенитот, сега на дното
Некогаш слободен, сега заложен
Некогаш со име, сега со прекар
јазику мој, јазику на светот
никој не може да ти ја поништи
твојата волшебна моќ
твоето воскресение!

Photo by
Gaman Alice
on
Unsplash

",15
42,Богомил Ѓузел,"Денес е петок, прекрасен ден за читање македонска поезија и македонски стихови. Во продолжение прочитајте ја прекрасната песна „Бдеење“ од Богомил Ѓузел!",Бдеење,"Бдеење – Богомил Ѓузел

Завршува уште еден ден.
Макар што никој не ме тера
да се вратам дома
небото се затвора ко утроба
што се отворила предвреме
а решетките на хоризонтот слушам
како се слушаат со чкрипот.
Се затвора дуќанот на светот.
Вечерта ме магнетисува со умор
и алкохол. Корка лебец и пепел.
Денот го продолжувам со бессоница.
Одеднаш огништето се запалува
или некое полноќно сонце
и јас се гледам како чекорам
по одредената врвица
од пустината на мојата дланка.

(извор на сликата: Pinterest)

",18
43,Ацо Караманов,"На 31 јануари 1927 година се родил македонскиот револуционер и поет Ацо Караманов. Во 1941 година се вклучил во СКОЈ, на почетокот на септември 1944 се придружил на Тринаесеттата македонска народна бригада, а го загубил својот живот ноќта меѓу 10 и 11 октомври 1944, на само 17 години. Заради неговата прерана смрт, на само 17 години, тој не успеал да издаде книга или поетска збирка, но, сочувани се околу 280 поетски творби, како и неговите бележници, лектирски тетратки, записи од дневниците, писма и други преписки.",И можеби ти ќе дојдеш тогаш,"Во чест на Ацо Караманов, денес на блогот ги читаме неговите стихови!

И можеби ти ќе дојдеш тогаш – Ацо Караманов

И можеби ти ќе дојдеш тогаш
за последен пат на морскиот срт
немоќен и студен каде спијам
прераната да ја колнеш смрт.

А моите усни насмевнати ќе бидат
и душата уште ќе живее велам
а очите верувај сами ќе видат
и пак со тебе сè ќе делам.

Ќе бидам буден тогаш верувај
дури ќе излезам од темниот гроб
повторно да ја запеам моќната песна
на црниот и побунетиот роб.

Од моите очи ќе капат капки дожд
земјата да ја напојат родна
та и мртов ќе мислам на тебе и неа
ти среќна да бидеш, таа плодна.

",46
44,Гане Тородовски,"Длабоко сме навлезени во зимата и студените денови, па затоа денес на блогот читаме македонска поезија и прекрасните стихови на Гане Тодоровски!",Зимска прикаска,"Зимска прикаска – Гане Тодоровски

Стивна сегде шумот… градот молкна.
Скопје заспа в сладок ноќен сон;
јас сум буден, низ чистото окно
гледа ладно месец сребро полн.

Спие градот облечен во тенка
нежно-снежна копринена риза,
како змија димот витка сенка
просторот во ноќта тој го гризе.

Пак е така чудно, толку чудно,
сè e исто: ноќта, мојот дом…
„Что бы мне так больно и так трудно
жду ль чего, жалею ли о чьем?“

Не, не зошто, зошто ли ќе жалам
само детски спомен галам јас,
ене гледам собата пак мала
тате пее, тажен лее глас.

„Выхожу“ ја пее така страсно,
срцето го раѓа звукот топол,
месецот го шета сводот јасен
јас го следам со врелиот опул.

Јас го следам жедно очи вковал
в ликот негов, таму солзи капат
„Я ищу свободы и покоя“
и ме грли тој со дланот рапав.

Песно чудна! Зошто таква сила
криеш в себе. Зошто, кажи ми?
Штом те спомнам срце болно свивам
расне в тебе образ татков мил.

„Выхожу один я на дорогу
сквозь туман кремнистий путь блестит“
штом те спомнам сеќавам јас тогаш
тате пее лермонтовски стих.

Живеј песно! Знаеш ли ти колку
место земаш во срцево мое?
Знаеш ли колку ублажуваш болки?
Живеј песно живеј в мојот спомен?

***

Небото е уште така светло
месецот врз снегот згрчил лик
склопив очи…. В чуден спомен сетив
дел од мојте свидни детски дни.

Тодоровски, Гане.
Скопјани
. Скопје: Арс Либрис, 2020

Извор на сликата: Cabin Place

",48
45,Славко Јаневски,"На 11 јануари 1920 година се родил познатиот македонски писател и поет Славко Јаневски. Во негова чест, денес читаме прекрасни македонски стихови токму од него.",Мост,"Мост – Славко Јаневски

Темели од воздух
и пак мост си сочинил.

Едниот крај на дланка
другиот врз глава се потпира.

Со нозе преку него
да минеш се напрегаш,
не се може.

Стои лакот непреминлив
и стои главата,
без неа господ знае
нозете кај ќе стасаат.

",5
46,Петре М,"Денес е петок, кој освен што е последниот работен ден од седмицата за многумина, исто така го означува и последниот викенд од оваа 2023 година. А има ли подобар начин да го прославиме последниот викенд и почетокот на новогодишниот викенд од споделување и читање македонска поезија? Имено, ова е и последната објава на блогот за 2023 година, па затоа и се одјавувме за оваа година со прекрасните стихови на Петре М. Андреевски од неговата легендарна збирка „Дениција“.",Песна за мојата песна,"Песна за мојата песна – Петре М. Андреевски

Отспрегни ce машки ветру, мој личен телалу,
надлетајте го својот глас птицо и грмотевицо,
бидете редачки мои мачни посестрими
и искрај в краја пренесете ја песната за мојата песна:
За таа топола меѓу две пустини, меѓу две планини,
за тој постојан бакнеж меѓу две пречисти усти,
за тоа виножито меѓу две возбудени шуми,
за таа неизодлива ноќ меѓу две преноќишта,
за таа потпалена свеќа меѓу два непријателски черепа,
за таа мировна труба меѓу две завојувани земји,
за таа воздушна коњица меѓу две села,
меѓу две стомни вода,
за тој преотворен чадор на печурката,
за таа препрочитана телеграма меѓу два братски дожда,
за таа непомрдната Деница меѓу две оддалечени утра,
за тоа растојание меѓу два одѕива,
за тие речни слабини меѓу две скарани перачки,
за тој затскриен студ меѓу две топли соби,
за тој буквар, за таа сметалка меѓу два ближни града,
за тоа засолниште меѓу две селски горештини,
за тој пејзаж, меѓу две писма, меѓу две боишта,
меѓу две Крушевски Републики,
за таа пот, за тој дијамант меѓу две стушени чела,
за таа грутка снег меѓу две детски дланки,
за тој сончев прстен, за таа рамноденица,
за таа расонета струја меѓу две растителни ноќи,
за тоа запечатено пладне меѓу две речни промаи,
за таа капка вода меѓу две суви непца,
за таа камбанарија меѓу два ѕидара, меѓу два ѕвонара,
за тоа нескротливо животно, за тоа милозливо Невреме,
за тој водопад меѓу моиве две раце,
ЗА ДЕНИЦИЈА.



",40
47,Ацо Шопов,"На 20 декември 1923 година се родил еден од најголемите македонски поети Ацо Шопов. Годинава беше и прогласена за година на чествување на Ацо Шопов и имаше голем број активности и настани поврзани со неговиот лик и неговото творештво. За да ја заокружиме годинава и овој јубилеј, денес на блогот, токму на денот на неговото раѓање, читаме негови стихови.",Ноќта,"Ноќта – Ацо Шопов

1.
Co лажна убавина ги обвива предметите
и им дава облик на вистинско збивање.
Ги измамува луѓето… и само сo поетите
има допир силен ко најприсно сливање.

Caл нив им ги отвора широко зениците
топли од сонувања за дни недонесени,
меѓу сите предели ги брише границите…
Затоа поетите гледаат занесени.

2.
Ноќта е заборав, заборавот успивање,
кога сите мисли на праг ги оставаме.
Денот клика возбудено: памети ме, памети ме,
ко пролетни води твое сум разливање,
a ноќта: пополека сè да забораваме.

",13
48,Катица Ќулавкова,Денес на блогот читаме македонска поезија и стиховите на академик Катица Ќулавкова!,Ужас без крај (обична песна),"Ужас без крај (обична песна) – Катица Ќулавкова

Затоа што безграничното го натрупаа со граници
Затоа што и на јагулите патот не им е прооден к’о што беше
Затоа што и штрковите се мислат дали да се вратат
Затоа што ни небото е сино, ни земјата – плодна,
ни домата – дома
Затоа што од слободата остана само звук на очај
Затоа што цела држава ни е депонија, гасна комора, логор
Затоа што луѓето станаа нелуѓе, градот – преполн зомби
Затоа што децата немаат детство, не веруваат во иднина
Многу скролаат, малку зборат, едвај раскажуваат
Затоа што младите станаа монети за раскусурување
евтина стока, бело робје, жртви на разноразни трговии
Затоа што кладилници никнат на секој агол, со закон заштитени
а библиотеките, училиштата и градинките се распаѓаат
Затоа што по патиштата се гине секојдневно,
небаре сме во војна
Затоа што пожолтена е сликата на светот,
жолт печат, грозни вести
Затоа што вистината не вреди ни пет пари,
лагата е преценета
Затоа што сè ни е на распродажба, и минатото, и сегашноста
А иднината и онака не постои, освен како мислена именка
и предизборна кампања.

Извор:
Фејсбук профилот на академик Катица Ќулавкова

",15
49,Блаже Конески,"На денешен ден, 7 декември 1993 година, починал Блаже Конески, еден од најзначајните луѓе во македонската книжевност. Во негова чест, денес на блогот ги читаме неговите стихови.",Ѕвезди,"Ѕвезди – Блаже Конески

Думам — вие еднаш ми зборевте нешто,
но не думам веќе што и како било,
и залудно да се присетувам сега —
сивило се свило, споменот го скрило.

Думам само — беше на полноќ во Раец,
чкртаа по патот кираџиски коли
и штуркаа, ѕвезди, еднолично штурци
со глас што се моли за тивнати боли.

О ѕвездено небо, мислев дека мој е
зборот како тајна што во мене ѕуни.
Но залудно да се присетувам сега —
зошто да ме буни звук на глуви струни?

Го паметам само тиквешкиот говор
на колари пеши крај чкрипливи коли,
само она тивко штуркање во Раец
и глас што се моли за далечни боли.

",9
50,Анте Поповски,"Денес е убав ден да читаме македонска поезија (впрочем, како и секој друг ден), па затоа во продолжение уживајте во прекрасните стихови на Анте Поповски и тоа песна од неговата прва издадена стихозбирка „Одблесоци“!",Наслутувања,"Наслутувања – Анте Поповски

Ќе наминеш ти
со твоите зелени очи
– подлабоки од езерото на надевањата,
– позелени од зеленилото пролетно!

Молкум ќе погледнеш горе
и тихо како наслутувањето
ќе одминеш…

И да се колнам
– по бездната на нашите надевања
ќе тапка заборавот
и рамнодушноста
на ова зеленило пролетно:

Јас ќе те барам
– во сè што е зелено
ќе те најдам
– во сè што е длабоко.

(„Одблесоци“, 1955)

",26
51,Лилјана Дирјан,Денес на блогот читаме прекрасна македонска поезија и стиховите на Лилјана Дирјан!,Концерт за мирис и оркестар,"Концерт за мирис и оркестар – Лилјана Дирјан

Мајка ми
кога нè вика на ручек в недела
таа подготвува
концерт за мирис и оркестар
сè се разликува
во нејзината кујна 3 на 4
пеат тенџерињата паѓаат капаците
плитките и длабоките чинии тропаат
солта и шеќерот врнат
белиот чаршаф со белиот вез е негибнат
лажиците, виљушките и ножевите се штимаат
штицата за сечкање воздивнува, кромидот солзи
аванот со каранфилчето, ванилата и морското оревче
пека за Азија
пее и чешмата
ринглите се тимпани
рерната е топлиот стомак на кујната
родното место на лебот
тој расте и се прелева
супата е полна со моркови и керевис
и саксиите на прозорецот степуваат
па и малото филџанче
последно од бившиот сервис од нејзината скромна свадба
блеска со жива жолчка
и весникот на кој се суши сечканиот магдонос шумоли
и татко ми гледа ту во мајка ми ту во своето сеќавање
кога таа се качува по скалите пред него и се смее задишана
а мирисаат и штотуку печените црвени пиперки
крај е на летото 2005
и тие се соблекуваат (прават стриптиз) од лушпите
а мајка ми
некако е ведра некако спокојна
зад неа на полицата е апаратот за притисок
и картонската кутија за чевли полна со лекови
би запеала посипувајќи ги ванилиците со шеќер во прав
би запеала
а и јас со неа

Извор на сликата: Pinterest

",59
52,Ацо Шопов,Честит 11 Октомври – Ден на востанието на Македонија! На овој ден македонскиот народ одлучно реши да се бори против окупаторот и да се бори за слобода и ослободување! Во таа чест ги читаме прекрасните стихови на Ацо Шопов!,Партизанска колона,"ПАРТИЗАНСКА КОЛОНА – АЦО ШОПОВ

Вечер е тиха, дремлива,
нечујно гора шумоли,
месец сред гранки сонува
ѕвездите солзат на небо,
а рана пролет пргава,
раскрила убост моминска –
снага ѝ – шума борова,
очи ѝ – бистри кладенци,
лице ѝ – пупка трендафил,
а коси – трева зелена.
Еј море, радост голема,
партизан в пролет да бидеш,
кога се шума разлисти
и зажуборат извори,
еј море, среќа бескрајна
в пролет низ гора да одиш,
грлото да го извиеш,
песни да пееш бунтовни
и врагот да го прогониш!…
Вечер е тиха, дремлива,
нечујно гора шумоли,
месец сред гранки сонува,
и ѕвезди солзат на небо.
Не оди долга колона,
не гази снага моминска,
на лесни крила пркнати,
вила ја носи планинска!



",13
53,Игор Исаковски,Денес на блогот читаме прекрасни македонски стихови од прерано починатиот Игор Исаковски.,Од сино кон црно,"Од сино кон црно – Игор Исаковски

најди ме во мојата двојност
избери парче за себе
земи ме како што ми доликува
спотни уште оган во вртлогот
терај ме напред
кон сонцето и светлината
терај
биди силна како случаен избор
наврти го твојот извор кон мене
земај додека ме има
густ чад исцеди од мене
болскоти прибери
со твоите големи
дланки како градови
носи ме
како сок што се наведува

",43
54,Влада Урошевиќ,"Влада Урошевиќ има навистина одлична и плодна година, покрај неколкуте нови изданија и награди, викендов и официјално ја доби награда „Златен венец“ на Струшките вечери на поезијата. Во негова чест и во чест на наградата, денес читаме прекрасни стихови од него.",Непозната,"Непозната – Влада Урошевиќ

Таа слегува бавно по големите камени скали.
Таа има тело посипано со цветен полен.
Таа носи кутија со заспани пеперуги на дланката.
Таа го знае наизуст распоредот на ѕвездите.

Таа се управува според мирисот на морето.
Таа ги чувствува патиштата на кртовите под земјата.
Таа ги насетува облиците на утрешните облаци.
Таа го гледа мракот во срцето на ламбата.

Таа минува меѓу кратерите на Месечината.
Таа минува меѓу позлатените кулиси од опери.
Таа минува меѓу големите полнети птици што веќе не постојат.
Таа минува меѓу мртвите нуркачи во скафандри.

Таа минува меѓу деца што играат мижитатара.
Нејзе ѝ се обрнуваат, таа одговара.
Но таа зборува на еден мртов јазик
што го разбираат само статуи.

Извор:
Урошевиќ, Влада. „Лавиринт“ (избор од поезијата). Скопје: 2019, Темплум

Извор: Pinterest

",4
55,Јосип Коцев,"Вчера на блогот,во објавата со препораки,напоменав дека ја прочитав и ја препорачав новата поетска збирка на Јосип Коцев, „Две мориња“. Уште сум инспирирана од некои од неговите стихови, па денес на блогот издвојив една песна која мене ми остави голем впечаток, можеби ќе ве поттикне да ги прочитате и останатите.",Разминувања,"

Разминувања – Јосип Коцев

Некои разминувања
треба да стојат во
учебниците по историја,
како најголеми настани
што никогаш не се случиле,
во географските атласи,
како реки што никогаш
не си ги измешале водите,
во градските планетариуми,
како светови што се пресекуваат
и крварат
на ист простор,
во сите различни времиња
сè до последната капка иднина.

",61
84,Матеја Матевски,"Денес е убав ден, среда. За поголема мотивација и убав ден, денес читаме убави стихови од Матеја Матевски.",Трева,"Трева
–
Матеја Матевски

Залутав одамна љубопитна во овој грд пејсаж
од железо цреп и бетон
но сепак останав жива

Сега сум малечка полјанка
на туѓите убави надежи
за кои го крадам неверна ветерот од реката

Безброј патувања им нудам
на очите и стапалките
што паѓаат уморени на моите сиромашни откоси

Но спомени имам и јас
па свенувам штом ќе ми шепнат
дека сум била шарено крило на убавината

Шарено крило на младоста
во коренот на плитките води
што растат со жолтиот спомен во купишта од сено

Извор: We Heart It

",58
56,Матеја Матевски,Денес на блогот читаме прекрасна македонска поезија и стиховите на Матеја Матевски!,Сон,"Сон – Матеја Матевски

Сè повеќе ридот се крева пред неговиот поглед
зад него остануваат треви троскотишта и бурјани
Потоа нискогорица се траќа меѓу красти и камењари
врз кои сонцето јачи

Наеднаш сенките се прибираат во шумата
а студот в срце
И ти сал одиш напред и пругоре среде дрвјата
по чистинките од старо лисје
високите по кои стада и магли пасат

Сонцето кон врвот влече и подалеку уште
со лишаи одделен и карпи со мовта на годините
Ти знаеш дека пак мораш да се изјазуваш
сал угоре подалеку и ридот
беспрекин да се виши
по копнеењето дално на небото

Зад врвот бездната зјае во грда несполука
а ти сал одиш напред
дур врвот пред тебе постојано
расте и се извишува

Извор: Од „Мадригал“.
Матеја Матевски. Копнеж по целина. Скопје: Мисла, 2005

Извор: Pinterest

",58
57,Блаже Конески,Денес на блогот читаме македонска поезија и стиховите на Блаже Конески!,Претходница,"Претходница – Блаже Конески

Не барам збор за ова што ни се случува.
Речи го: предавство, лудост, гадост, нискост.
Секој ќе плати за својот бес.
Пустошот што те чека
јас веќе го доживеав.
Не бој се. Не е страшно.
На крајот сеќаваш дури жал и блискост.

(Извор на сликата: Aesthetica Magazine)

",9
58,Петре М,Денес на блогот читаме македонска поезија и стиховите на Петре М. Андреевски!,Лицето на зборовите,"Лицето на зборовите – Петре М. Андреевски

Кога ја прашав баба ми
како да го запаметам
лицето на зборовите,
таа како да се врати
некаде оддалеку,
ме гушна и ми рече:
Нивното лице не е едно,
како и нашата мака
што не е само една
и не е само за еден!

Така во скутот на баба ми,
на нејзината шарена скутина
ја запознав мојата татковина.

",40
59,Ацо Шопов,"Летото ни се приближува со брз чекор, но сè уште имаме можност да уживаме во пролетните денови. Денес започнува нов месец, па да се надеваме дека јуни ќе ни донесе убаво време и убави моменти. Па така, на почетокот на новиот месец, денес на блогот читаме прекрасни македонски стихови, а изборот падна на Ацо Шопов.",Ако сведнам понекогаш глава,"Ако сведнам понекогаш глава – Ацо Шопов

Ако сведнам понекогаш глава,
понекогаш ако паднам в чмај,
и во мртви зеници се јават
мртва тага и злослутен сјај,–

о, не мисли осамена да си!
Радост носам исто ко и ти, –
тоа само ко ехо се гласил
некој спомен од детските дни.

И не иди! Не теши ме милно!
Сам ќе мине овој облак лош,
и очите ќе ми светнат силно
окапени во смеа и дожд!

Стихови за маката и радоста
, 1952

Извор на сликата: Pinterest

",13
60,Гане Тодоровски,На денешен ден во 1929 година се родил еден од најпознатите и најдобрите македонски поети и книжевници – Гане Тодоровски! Во негова чест денес читаме прекрасни македонски стихови создадени токму од неговото перо.,Обична песна,"Обична песна – Гане Тодоровски

И бев и сум
со грска грев со грутка ум
и ќе се преобидам
да видам колку ли уште ќе бидам
бидејќи бев
колку на ум
толку на друм
бидејќи копнеев да видам
кон каде идам
со товар гнев
со порој шум –

И најоздади
низ горчлив смев
низ едвај здив
преповторив:
сум бил и уште сум
и уште верувам ќе бидам
не потајум
не молчешкум
туку
низ оној голем грев
сеприфатлив
бидејќи живеев
живот на вистински жив.

Извор на песната:
Тодоровски, Гане.
Скопјани
. Скопје: АРС ЛАМИНА, 2020

Извор на сликата: We Heart It

",32
61,Игор Исаковски,"Игор Исаковски прерано го напушти овој свет, а не престанува да воодушевува со неговите стихови. Па затоа, во пресрет на овој продолжен викенд, денес на блогот читаме негови стихови.",Ќе спијам,"Ќе спијам – Игор Исаковски
(сакам што ноќта е жена)
ќе спијам во мојот кревет.
додека надвор завиваат снегулки
и раката нерешително ми трепери.
ќе спијам во мојот кревет. за инает
на сите тие претскажувања: за мојата
смрт, за војни, за катаклизми, за сè
што би тргнало наваму–натаму. ќе спијам
во мојот кревет. низ високите окна
ќе гледам како навева снегот. ќе се
туткам во својата топлина, ќе бидам
тивок и нежен, топол наспроти студот
на светот. вредам повеќе од тоа.
ќе спијам со мирис во носниците,
полн љубов, полн мир. ќе спијам
во мојот кревет, спокоен и на топло.
вечерва нема да мислам на селењето:
ова е толку убава и силна ноќ,
што повремено се прашувам
како ли сум ја заслужил.

",43
62,Ацо Шопов,"На денешен ден во 1982 година починал Ацо Шопов, еден од најпознатите македонски поети. Годинава исто така се одбележуваат и 100 години од неговото раѓање. Во негова чест, денес читаме една негова прекрасна песна.","Знам, ти сега сама замислена минеш","Знам, ти сега сама замислена минеш – Ацо Шопов

Знам, ти сега сама замислена минеш,
и чувствуваш в срце и болка и сласт,
и едина мисла те мачи и кине:
зошто сум ти близок и далечен јас.

Но вечер, штом птици попаѓаат в гнезда
и задрема паркот и настане мир,
Штом ноќта се роди и sвезда по sвезда
ќе посее немо по темната шир, –

ти пак ќе ми дојдеш занес да нè носи,
да јуриме лудо по незнаен пат,
и в заборав чуден да ти шепнам в коси
за мојата тајна што ја кријам млад.

И ти пак ќе прашаш: дали јас ти реков
или сонил нешто зелениот мај,
дали ветер в цветја потрепнува леко
или в река паѓа ѕвездениот сјај?

А утре, штом самне и занесот мине,
ти пак ќе се будиш со болка и сласт,
и истата мисла уште ќе те кине:
зошто сум ти близок и далечен јас!

Стихови за маката и радоста, 1952

Извор: We Heart It

",13
63,Видое Подгорец,"На денешен ден (14 април) во 1997 година починал Видое Подгорец, еден од најпознатите македонски современи писатели. Во чест на годишнината од неговата смрт, денес читаме прекрасни стихови од него!",Нема љубов,"Нема љубов – Видое Подгорец

Не минувај. Стани нешто налик на сон.
Времето во заборав нека се стопи.
Ти си на разуздани ждребиња од прапорци ѕвон
Во кој и тврдиот камен ќе се опие.

Нељубена ѕвездо! Откај толку жед
Во твоите очи за љубов?
Крај тебе сум јас залутана птица во бура, без глед,
Па сѐ ми е едноставно во животот груб.

Та што е срам? За така исчекан миг
Јас се стопувам в себе. И само еден лик
Ме плени. И само твојот лик ме плени.
И да е полето наше, по сите искласани ниви,
Ќе минеме како ветер со развеани гриви,
Но од таква љубов пак ќе бидеме неми.

",39
